id,name,normalised_name,aliases
1137e589-5e2b-3f68-bbc5-d3843e1d3719,Rona Nishliu,rona-nishliu,{'Rona Nishliu'}
117634e1-cac6-3bec-b912-2bb2cfc88f5a,Hans Flower,hans-flower,{'Hans Flower'}
11a7a52f-c431-3aef-809c-e993281433ae,Ulla Pia,ulla-pia,{'Ulla Pia'}
11a9253c-c117-3c4a-a903-70c4147e14a6,Jean Gabilou,jean-gabilou,{'Jean Gabilou'}
11b3cdab-9d8a-3652-b038-1af9094a80a1,Elitsa Todorova & Stoyan Yankulov,elitsa-todorova-stoyan-yankulov,{'Elitsa Todorova & Stoyan Yankulov'}
11d6c5e0-805e-3a0e-a30d-07141fe45d50,Sandra Bjurman,sandra-bjurman,{'Sandra Bjurman'}
12207d9b-aa55-3b15-ab16-ddde91dc3473,Westend,westend,{'Westend'}
1230bc22-1bde-37b6-a571-7f5aa604f848,Yuliana Scutaru,yuliana-scutaru,{'Yuliana Scutaru'}
123ecd20-1a27-3902-9368-7b83d678f669,Afro-dite,afro-dite,{'Afro-dite'}
124f1ae7-cafe-3b36-a73a-acca5ae80275,Sylvia Ruth Santoro Lopez,sylvia-ruth-santoro-lopez,{'Sylvia Ruth Santoro Lopez'}
1267a346-c33f-3c9b-b5d1-e3f896c0ab86,Anja,anja,{'Anja'}
127cf1d7-a379-3232-a53a-14d6d1e4cd8b,Yoram Tahar-Lev,yoram-tahar-lev,{'Yoram Tahar-Lev'}
129116af-4f32-3e45-86af-6bcc1d748f86,Cheyenne Stone,cheyenne-stone,{'Cheyenne Stone'}
129af193-8e19-3afb-b658-b7cf4350698a,Phil Peters,phil-peters,{'Phil Peters'}
12a0f3f6-fbf8-3851-abc5-9e8fbeb14663,Carrado Conti,carrado-conti,{'Carrado Conti'}
12a24ffd-1bfb-39b7-bca3-d0598e373fb4,Claude Alix,claude-alix,{'Claude Alix'}
12a52a9e-acb3-3b00-8839-61fc6f0ec05a,Vline Buggy,vline-buggy,{'Vline Buggy'}
12ac7159-c5d2-3db3-a4fe-231173fd161c,Athena,athena,{'Athena'}
12c61a54-5ff8-3860-b65a-7cec0eb07f36,Ted Powder,ted-powder,{'Ted Powder'}
12e4fb79-99d2-3d41-a426-1240e1b7839a,Frédéric Botton,frederic-botton,{'Frédéric Botton'}
12fd39b0-df4a-3e41-b444-7826bbae563f,Beppe Wolgers,beppe-wolgers,{'Beppe Wolgers'}
132077df-471c-3f11-b77d-65fb1c8f8cd0,Urban Koder,urban-koder,{'Urban Koder'}
13456630-14e2-3370-a8bd-25634c0989e4,Aivaras Stepukonis,aivaras-stepukonis,{'Aivaras Stepukonis'}
1348bc5d-0ef7-391e-9e1b-e100514b02e8,Gianni Mascolo,gianni-mascolo,{'Gianni Mascolo'}
135af08c-dafb-3179-8e7d-484c40d5e211,F.L.Y.,f-l-y,{'F.L.Y.'}
138286b8-06d3-3af1-a01d-50fa398e8e37,Steven Rudden,steven-rudden,{'Steven Rudden'}
